,Phlya,Unconstrained,val500,his500,cyt500,pro500,arg500,phenyl500,myristic500,isoleucine500,tyr500,glyasn500,alahis500,ddca500,trhl500,g3p500,ocdca500,ara500,glytyr500,lys500,    glyphe500,val250,his250,cyt250,pro250,arg250,phenyl250,myristic250,isoleucine250,tyr250,glyasn250,alahis250,ddca250,trhl250,g3p250,ocdca250,ara250,glytyr250,lys250,glyphe250 
acido1294,acido,0.404253,NA,NA,0.375968,0.421531,0.387769,NA,0.363894,NA,NA,0.394333,0.235044,0.384864,NA,NA,0.227583,NA,0.158901,0.219835,0.172565,NA,NA,0.39406,0.434226,0.418592,NA,0.398228,NA,NA,0.394333,0.121584,0.384462,NA,NA,0.1213,NA,0.094573,0.1213,0.092484
acido1295,acido,0.364884,NA,NA,0.417315,0.374163,0.40619,NA,0.354302,NA,NA,0.468431,0.251814,0.361946,NA,NA,0.251814,NA,0.174468,0.251814,0.180804,NA,NA,0.432218,0.374163,0.372129,NA,0.392077,NA,NA,0.468431,0.149348,0.376462,NA,NA,0.149348,NA,0.095935,0.149348,0.106908
acido207147,acido,0.462342,0.504669,NA,0.517409,NA,0.479913,NA,0.421406,0.444968,NA,0.453391,0.291128,0.496269,NA,0.463258,0.433378,NA,0.428102,0.291128,0.20721,0.43503,NA,0.527174,NA,0.493321,NA,0.405574,0.496172,NA,0.511589,0.19149,0.450121,NA,0.463258,0.413038,NA,0.439281,0.19149,0.123608
acido208300,acido,0.798028,0.74557,0.74557,NA,0.75977,0.787591,0.74557,0.798458,0.843776,0.775265,NA,NA,0.798028,0.798028,0.775335,0.757899,NA,NA,0.75347,NA,0.845972,0.845972,NA,0.935304,0.783153,0.845972,0.787031,0.845972,0.832331,NA,NA,0.798028,0.798028,0.902665,0.845972,NA,NA,0.845972,NA
acido208547,acido,0.40453,NA,NA,0.508554,0.40453,0.447432,0.41696,NA,0.386654,NA,0.40453,0.301204,NA,NA,NA,0.443927,NA,0.391322,0.35034,0.40453,NA,NA,0.559224,0.40453,0.429834,0.41696,NA,0.411801,NA,0.40453,0.200038,NA,NA,NA,0.422239,NA,0.462536,0.167413,0.40453
acido208548,acido,0.35691,NA,NA,0.376134,0.321242,0.369198,NA,0.329068,NA,NA,0.35691,0.247538,0.35691,0.35691,NA,0.363882,NA,0.378548,0.284295,0.186191,NA,NA,0.386581,0.319671,0.338509,NA,0.313133,NA,NA,0.35691,0.130628,0.35691,0.35691,NA,0.319676,NA,0.34672,0.148905,0.099628
acido208549,acido,0.366242,NA,0.362303,0.443098,0.374404,0.387812,0.382769,0.327446,NA,0.357258,0.366694,NA,0.365374,0.403035,0.379654,0.366525,NA,NA,0.221544,NA,NA,0.407649,0.407209,0.403839,0.392021,0.373456,0.316796,NA,0.382774,0.404484,NA,0.35403,0.405343,0.44996,0.344501,NA,NA,0.121348,NA
acido215705,acido,0.432951,NA,NA,0.476926,0.432951,0.420782,NA,0.383775,NA,NA,0.408638,0.317516,0.432951,NA,NA,0.39816,NA,0.414501,0.280164,0.441997,NA,NA,0.37692,0.432951,0.446147,NA,0.400917,NA,NA,0.441072,0.207053,0.432951,NA,NA,0.378497,NA,0.45783,0.170323,0.432201
acido239417,acido,0.423155,NA,NA,0.423155,0.431345,0.459881,NA,0.423155,NA,NA,0.409222,0.261111,0.247169,NA,0.461354,0.252036,NA,0.450563,0.247256,0.412189,NA,NA,0.433362,0.415835,0.459881,NA,0.423155,NA,NA,0.409222,0.139899,0.139899,NA,0.388689,0.126163,NA,0.440867,0.139899,0.426267
acido239419,acido,0.517098,0.517098,NA,0.380732,0.565888,0.418296,NA,0.478769,0.517098,NA,0.288196,0.288196,0.517098,NA,NA,0.288196,NA,0.234554,0.288196,0.247822,0.517098,NA,0.2836,0.508466,0.538357,NA,0.493396,0.517098,NA,0.17006,0.170063,0.517098,NA,NA,0.17006,NA,0.133894,0.17006,0.140966
