Phyla,Model,Unconstrained,Lys,GlyPhe,ocdca,TRHL,GlyTyr,ddca,GlyAsn,Lisoleucine,Myristic,AlaHis,Lphen,Larg,Ltyr,Dara,Cytidine,Lval,Lpro,Lhis,G3P
acido,acido1294,0.404253,0.055625,0.223743,0.219293,NA,0.27471,0.027862,0.00992,NA,-0.000859,0.21863,NA,-0.024165,NA,NA,-0.017849,NA,-0.032864,NA,NA
acido,acido1295,0.364884,0.033649,0.165456,0.139717,NA,0.220964,-0.007886,-0.057387,NA,-0.000492,0.142361,NA,0.002159,NA,NA,-0.050396,NA,-0.018961,NA,NA
acido,acido207147,0.462342,0.067534,0.20504,-0.022431,NA,-0.006279,-0.033558,0.012171,0.00031,0.009475,0.25543,NA,-0.000574,NA,NA,-0.060291,-0.020836,NA,NA,NA
acido,acido208300,0.798028,0.00983,NA,0.05615,0,NA,0,NA,0.039203,0.003585,NA,0.028106,0.005098,0.015475,NA,NA,0.012913,0.009876,0.002416,0
acido,acido208547,0.40453,0.009706,0,-0.078433,NA,-0.060732,NA,0,0.024423,NA,0.162589,-0.091381,0.002685,NA,NA,-0.115154,NA,0,NA,NA
acido,acido208548,0.35691,0.032741,0.161784,0.012224,0,-0.003889,0,0,NA,-0.001137,0.168449,NA,0.005461,NA,NA,-0.021066,NA,-0.023839,NA,0
acido,acido208549,0.366242,0.01571,NA,0.001492,-0.016849,NA,-0.034277,0.006312,NA,0.032608,NA,-0.003788,0.015151,0.009031,NA,-0.015384,NA,-0.023468,-0.03155,-0.016849
acido,acido215705,0.432951,0.047715,0.040566,0.036222,NA,-0.023402,0,-0.023553,NA,0.062979,0.155488,NA,-0.013091,NA,NA,-0.030682,NA,0,NA,NA
acido,acido239417,0.423155,0.074268,-0.011976,0.208392,NA,-0.018269,0.154535,0.013933,NA,0,0.213907,NA,-0.036726,NA,NA,0,NA,-0.055315,NA,NA
acido,acido239419,0.517098,0.059913,0.260178,0.259911,NA,0.319168,0,0.093181,0,0.012855,0.267617,NA,0.018613,NA,NA,0.090291,0,-0.082357,NA,NA
acido,acido239421,0.753064,0.065624,0.129825,0.107764,NA,0.086634,0.077973,0,NA,-0.000238,0.1217,NA,-0.071552,NA,NA,NA,NA,0.084922,NA,NA
acido,acido240122,0.553625,0.075528,0.280234,0.270505,-0.034775,0.323364,0,0.019658,0.007879,0.033163,0,NA,0.020358,NA,NA,NA,-0.011252,0,NA,-0.034775
acido,acido240438,0.452296,0.059589,-0.021153,0.219527,NA,-0.021417,0,0.067315,NA,0.017796,0.238728,NA,0.049855,NA,NA,0.048373,NA,0.031165,NA,NA
acido,acido244709,0.503383,0.033496,0.200094,0.184234,0.112456,0.261885,NA,-0.009256,0.111081,0.0994,0,NA,0.115488,NA,NA,0.045435,0.045325,-0.030943,NA,0.112456
acido,acido26089,0.567707,0.035511,0.208217,0.229115,NA,0.024016,0,-0.01542,-0.044858,0.019772,0.23782,NA,-0.001451,NA,NA,NA,-0.026158,NA,NA,NA
acido,acido26154,0.303313,0.048526,0.149395,0.154234,-0.04581,0.195298,0.019037,0,0.115584,0.01327,-0.046545,NA,-0.013518,NA,NA,-0.011805,NA,-0.045229,NA,-0.04581
acido,acido28199,0.598709,0.039476,NA,0.19793,NA,NA,0,0.001431,0.046052,-0.028617,0.188749,0.113272,0.153773,0.155274,NA,-0.139843,0.036807,NA,NA,NA
acido,acido28399,0.419306,0.017495,0.158166,0.169192,NA,0.212715,0.112883,0.001769,0.012904,-0.006839,0.187051,NA,0.03761,NA,NA,0.018454,NA,0,NA,NA
acido,acido28550,0.710723,0.037973,0.14992,0.206448,0.132992,0.312907,-0.001201,0,0.130031,0,0.22936,NA,0.138254,NA,NA,NA,0,0,NA,0.132992
acido,acido2957,0.384213,0.02626,0.202894,0.190513,-0.164392,-0.092315,0,-0.095069,0,-0.063625,0.197488,NA,-0.041381,NA,NA,-0.018376,-0.05488,-0.071027,NA,-0.164392
acido,acido3009,0.388846,0.037723,0,0.169,NA,-0.044754,-0.042075,0.068909,NA,0.001743,0.175522,-0.031075,-0.016616,NA,NA,-0.004974,NA,0,NA,NA
acido,acido3010,0.389097,0.062049,0,0.200061,NA,-0.015558,-0.031264,0.084417,0,-0.02698,0.206918,-0.027598,-0.002375,NA,NA,-0.001931,NA,0,NA,NA
acido,acido341,0.618722,0.036392,0.117722,0.169013,NA,0.178175,0,-0.051156,0.037642,0.007386,0.178866,NA,0.006976,NA,NA,NA,0,NA,NA,NA
acido,acido460,0.315655,0.031489,0.158897,0.139923,-0.051277,0.16553,-0.011351,0.001017,NA,0.010531,-0.060981,NA,-0.041,NA,NA,0.008492,NA,-0.014383,NA,-0.051277
