uptake,L Lysine,Gly Phe 1K,Gly Phe 10K,Gly Phe 10K1K,ocdca,TRHL,Gly Tyr,ddca,gly asn L,L Isoleucine,Myristic acid,Ala His,L Phenylalanine,L Arginine,L Tyrosine,D Arabinose,Cytidine,L Valine,L Proline,L Histidine,Glycerol 3 phosphate
0,0,0.00E+00,0.00E+00,0.00E+00,0,3.65E-28,0.00E+00,0,0,0,0,0,0,0,0,0,7.85E-13,0,0,0,0
10,32.2114,87.804,87.804,87.804,117.3925,79.9661,124.9263,79.9661,49.7932,41.3567,66.6384,126.1613,64.7168,51.7069,82.8661,133.2768,40.3282,28.3903,50.8539,126.1613,52.1744
20,64.4229,175.6079,175.6079,175.6079,234.7849,159.9322,249.8527,159.9322,99.5863,82.7135,133.2768,252.3226,129.4335,103.4138,165.7322,266.5537,80.6565,56.7806,101.7077,252.3226,104.3489
30,96.6343,263.4119,263.4119,263.4119,352.1774,239.8983,374.779,239.8983,149.3795,124.0702,199.9153,378.4839,194.1503,155.1207,248.5983,399.8305,120.9847,85.1708,152.5616,378.4839,156.5233
40,128.8458,351.2159,351.2159,351.2159,469.5699,319.8644,499.7053,319.8644,199.1726,165.427,266.5537,504.6453,258.867,206.8276,331.4644,533.1073,161.3129,113.5611,203.4154,504.6453,208.6977
50,161.0572,439.0199,439.0199,439.0199,586.9624,399.8305,624.6316,399.8305,248.9658,206.7837,333.1921,630.8066,323.5838,258.5345,414.3305,666.3842,201.6412,141.9514,254.2693,630.8066,260.8722
60,193.2687,526.8238,526.8238,526.8238,704.3548,479.7966,749.558,479.7966,298.7589,248.1405,399.8305,756.9679,388.3005,310.2414,497.1966,799.661,241.9694,170.3417,305.1232,756.9679,313.0466
70,225.4801,614.6278,614.6278,614.6278,821.7473,559.7627,874.4843,559.7627,348.5521,289.4972,466.4689,883.1292,453.0173,361.9483,580.0627,932.9379,282.2976,198.732,355.977,883.1292,365.221
80,257.6916,702.4318,702.4318,702.4318,939.1398,639.7288,999.4106,639.7288,398.3453,330.854,533.1073,1000,517.734,413.6552,662.9288,1000,322.6258,227.1223,406.8309,1000,417.3955
90,289.903,790.2357,790.2357,790.2357,1000,719.6949,1000,719.6949,448.1384,372.2107,599.7458,1000,582.4508,465.3621,745.7949,1000,362.9541,255.5125,457.6848,1000,469.5699
100,322.1145,878.0397,878.0397,878.0397,1000,799.661,1000,799.661,497.9316,413.5675,666.3842,1000,647.1676,517.069,828.661,1000,403.2823,283.9028,508.5386,1000,521.7443
200,644.229,1000,1.76E+03,1.76E+03,1000,1000,1000,1000,995.8631,827.135,1000,1000,1000,1000,1000,1000,806.5646,567.8057,968.8418,1000,1000
300,966.3435,1000,2.63E+03,2.63E+03,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,851.7085,1000,1000,1000
400,1000,1000,3.51E+03,3.51E+03,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
500,1000,1000,4.39E+03,4.39E+03,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
600,1000,1000,5.27E+03,5.27E+03,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
700,1000,1000,6.15E+03,6.15E+03,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
800,1000,1000,7.02E+03,7.02E+03,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
900,1000,1000,7.90E+03,7.90E+03,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
1000,1000,1000,8.78E+03,8.53E+03,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2000,1000,1000,10000,8.77E+03,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
3000,1000,1000,10000,8.77E+03,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
4000,1000,1000,10000,8.77E+03,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
5000,1000,1000,10000,8.77E+03,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
6000,1000,1000,10000,8.77E+03,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
7000,1000,1000,10000,8.77E+03,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
8000,1000,1000,10000,8.77E+03,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
9000,1000,1000,10000,8.77E+03,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
10000,1000,1000,10000,8.77E+03,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
