Sample,CumulativeExRxns
1,97
2,135
3,142
4,146
5,146
6,147
7,153
8,154
9,159
10,159
11,159
12,163
13,165
14,169
15,170
16,173
17,173
18,173
19,174
20,177
21,178
22,185
23,193
24,193
25,193
26,196
27,197
28,198
29,201
30,202
31,203
32,203
33,204
34,205
35,205
36,205
37,205
38,206
39,206
40,206
41,206
42,206
43,206
44,206
45,206
46,207
47,215
48,215
49,217
50,217
51,217
52,218
53,218
54,218
55,218
56,218
57,219
58,219
59,219
60,219
61,219
62,219
63,219
64,219
65,219
66,220
67,220
68,220
69,223
70,224
71,224
72,224
73,224
74,226
75,226
76,226
77,226
78,227
79,227
80,227
81,227
82,227
83,227
84,227
85,227
86,227
87,227
88,227
89,227
90,228
91,228
92,228
93,228
94,229
95,229
96,231
97,231
98,231
99,231
100,231
101,231
102,231
103,231
104,231
105,231
106,231
107,231
108,231
109,232
110,232
111,232
112,232
113,232
114,232
115,232
116,232
117,232
118,233
119,233
120,233
121,233
122,235
123,235
124,235
125,235
126,235
127,235
128,235
129,236
130,236
131,238
132,238
133,238
134,238
135,239
136,239
137,239
138,240
139,240
140,240
141,242
142,242
143,242
144,242
145,242
