PHYLA,MODEL:,EXtot,Dglu,Fum,Acetate,Acetaldehyde,Oxo,Eth,Formate,DFruc,LGlutamine,LGlutamate,LLact,LMal,Pyr,Succ,Meth
Acidobacter,341,97,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
Acidobacter,460,116,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0
Acidobacter,470,86,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Acidobacter,3010,107,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Acidobacter,3009,105,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Acidobacter,2957,105,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Acidobacter,28550,98,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0
Acidobacter,28399,105,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Acidobacter,28199,78,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Acidobacter,26154,111,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0
Acidobacter,26089,99,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
Acidobacter,244709,100,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Acidobacter,240438,114,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Acidobacter,240122,112,1,0,0,0,1,0,0,1,0,1,1,1,0,0,0
Acidobacter,239421,93,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Acidobacter,239419,113,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Acidobacter,239417,108,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0
Acidobacter,215705,103,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Acidobacter,208549,101,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Acidobacter,208548,131,1,1,0,0,0,0,1,1,0,1,1,1,0,1,0
Acidobacter,208547,101,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Acidobacter,208300,92,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Acidobacter,207147,108,0,1,0,0,1,0,0,0,0,1,1,1,0,1,0
Acidobacter,1295,99,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Acidobacter,1294,100,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Actinobacteria,29633,107,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Actinobacteria,29545,125,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Actinobacteria,29543,114,1,1,0,0,0,0,1,1,1,0,1,1,0,1,0
Actinobacteria,29130,90,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Actinobacteria,244091,122,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Actinobacteria,241833,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Actinobacteria,241810,116,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0
Actinobacteria,241246,136,1,1,0,0,1,0,1,1,1,1,1,1,0,1,0
Actinobacteria,240390,111,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Actinobacteria,240250,126,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Actinobacteria,239728,134,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0
Actinobacteria,216387,119,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0
Actinobacteria,216381,128,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Actinobacteria,216320,103,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
Actinobacteria,211001,106,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Actinobacteria,207489,120,1,0,0,0,1,0,0,1,1,1,0,1,0,0,0
Actinobacteria,207261,127,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0
Actinobacteria,207226,114,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Actinobacteria,207093,115,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Actinobacteria,207003,106,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Actinobacteria,206826,113,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0
Actinobacteria,206587,77,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Actinobacteria,2051,118,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0
Actinobacteria,204,109,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Actinobacteria,1543,108,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0
Betaproteobacteria,3268,123,1,1,0,0,1,0,0,1,1,1,1,0,0,1,0
Betaproteobacteria,3265,103,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0
