molecule,type,km,vm
ocdca,blue,35.89546,1103.889
ddca,blue,71.33089,1141.678
Myristic,blue,96.56652,1177.252
trhl,green,71.33089,1141.678
Arabinose,green,29.53533,1097.656
g3p,green,136.1323,1235.521
Lysine,red,262.13,1397.15
GlyPhe,red,60.2211,1127.636
GlyTyr,red,32.42792,1100.959
GlyAsn,red,144.3442,1247.384
Isoleucine,red,188.8386,1303.566
AlaHis,red,31.97797,1100.429
Phenylalanine,red,101.0061,1183.736
Arganine,red,137.6705,1237.789
Tyrosine,red,66.9431,1135.934
Valine,red,316.486,1460.526
Proline,red,141.8936,1242.259
Histidine,red,31.97797,1100.429
Cytidine,black,195.4399,1312.125
