PHYLA,    'EX met L ala L e0',    'EX L Valine e0',    'EX Ala Leu e0',    'EX Mg e0',    'EX Gly Cys e0',    'EX H e0',    'EX Na e0',    'EX L Glutamate e0',    'EX K e0',    'EX Zn2 e0',    'EX Phosphate e0',    'EX Arsenite e0',    'EX Gly Tyr e0',    'EX Butyrate e0',    'EX L Arabinose e0',    'EX D Serine e0',    'EX Cys Gly e0',    'EX ala L glu L e0',    'EX gly asp L e0',    'EX Glycerol 3 phosphate e0',    'EX glycogenn 1 c0',    'EX Glycine e0',    'EX Ala His e0',    'EX Acetoacetate e0',    'EX Gly Leu e0',    'EX ala L asp L e0',    'EX Maltohexaose e0',    'EX Glycerol e0',    'EX Xylose e0',    'EX Ala Gln e0',    'EX L Isoleucine e0',    'EX NH3 e0',    'EX L Leucine e0',    'EX HYXN e0',    'EX Galactose e0',    'EX L Serine e0',    'EX PAN e0',    'EX Fe2 e0',    'EX Cl e0',    'EX BIOT e0',    'EX gly glu L e0',    'EX Mn2 e0',    'EX Formate e0',    'EX Glucuronate e0',    'EX PPi e0',    'EX Arsenate e0',    'EX Gly Gln e0',    'EX gly asn L e0',    'EX Cd2 e0',    'EX Amylotriose e0',    'EX Ca2 e0',    'EX Ni2 e0',    'EX Hg2 e0',    'EX Sulfate e0',    'EX D Galacturonate e0',    'EX L Lactate e0',    'EX L alanylglycine e0',    'EX Gly Met e0',    'EX Cu2 e0',    'EX S Adenosyl 4 methylthio 2 oxobutanoate c0',    'EX Pb e0',    'EX Co2 e0',    'EX D Alanine e0',    'EX Maltose e0',    'EX Gly Phe e0',    'EX Urea e0',    'EX ala L Thr L e0',    'EX gly pro L e0',    'EX fe3 e0',    'EX H2O e0',    'EX O2 e0',    'EX Biomass c0',    'EX L Lysine e0',    'EX ocdca e0',    'EX Guanosine e0',    'EX Nitrite e0',    'EX CMP e0',    'EX Dephospho CoA e0',    'EX L Arginine e0',    'EX N2 e0',    'EX Myristic acid e0',    'EX L Tryptophan e0',    'EX CoA e0',    'EX Thiamine phosphate e0',    'EX octadecenoate e0',    'EX ddca e0',    'EX Folate e0',    'EX NADP e0',    'EX TTP e0',    'EX Menaquinone 7 e0',    'EX Niacin e0',    'EX Heme e0',    'EX Putrescine e0',    'EX Riboflavin e0',    'EX S Adenosyl L methionine e0',    'EX Spermidine e0',    'EX Thyminose e0',    'EX L Rhamnose e0',    'EX Inosine e0',    'EX Dulcose e0',    'EX D Glucose e0',    'EX D Fructose e0',    'EX Deoxyinosine e0',    'EX Salicin e0',    'EX Deoxyadenosine e0',    'EX D Galactonate e0',    'EX D Ribose e0',    'EX L Proline e0',    'EX Aminoethanol e0',    'EX GLCN e0',    'EX D Mannitol e0',    'EX Sorbitol e0',    'EX BET e0',    'EX Cytidine e0',    'EX Deoxyguanosine e0',    'EX GLUM e0',    'EX Uridine e0',    'EX Thymidine e0',    'EX Cytosine e0',    'EX N Acetyl D glucosamine e0',    'EX Deoxyuridine e0',    'EX Thiamin e0',    'EX Nitrate e0',    'EX Uracil e0',    'EX Ornithine e0',    'EX Adenosine e0',    'EX TRHL e0',    'EX D Mannose e0',    'EX Sucrose e0',    'EX Allantoin e0',    'EX Ursin e0',    'EX Deoxycytidine e0',    'EX 4 Hydroxybenzoate e0',    'EX Lanosterol e0',    'EX dATP e0',    'EX Choline sulfate e0',    'EX Choline e0',    'EX Carnitine e0',    'EX dGTP e0',    'EX Citrate e0',    'EX Cobinamide e0',    'EX Dextrin e0',    'EX Butyro betaine e0',    'EX L Phenylalanine e0',    'EX crotonobetaine e0',    'EX ARSENOBETAINE e0',    'EX R 3 Hydroxybutanoate e0',    'EX Vitamin B12 e0',    'EX L Malate e0',    'EX 2 Oxoglutarate e0',    'EX Cbl e0',    'EX Vitamin B12r e0',    'EX GTP e0',    'EX H2 e0',    'EX H2S2O3 e0',    'EX Palmitate e0',    'EX Triphosphate e0',    'EX S Ribosylhomocysteine e0',    'EX L Tyrosine e0',    'EX Shikimate e0',    'EX meso 2 6 Diaminopimelate e0',    'EX Oxidized glutathione e0',    'EX Agmatine e0',    'EX D Glucarate e0',    'EX D Mucic acid e0',    'EX L methionine R oxide e0',    'EX L Methionine e0',    'EX L Methionine S oxide e0',    'EX D Methionine e0',    'EX Taurine e0',    'EX L Inositol e0',    'EX Nicotinamide ribonucleotide e0',    'EX 2 keto 3 deoxygluconate e0',    'EX L Histidine e0',    'EX Fumarate e0',    'EX Succinate e0',    'EX L Aspartate e0',    'EX Maltoheptaose e0',    'EX Pyridoxal e0',    'EX L Asparagine e0',    'EX Phosphoenolpyruvate e0',    'EX UMP e0',    'EX Phosphoarginine e0',    'EX 3 5 Cyclic CMP e0',    'EX L Cysteine e0',    'EX methanesulfonate e0',    'EX Sulfoacetate e0',    'EX hexanesulfonate e0',    'EX Isethionate e0',    'EX ethanesulfonate e0',    'EX L Cysteate e0',    'EX butanesulfonate e0',    'EX MOPS e0',    'EX L Glutamine e0',    'EX Ferrichrome e0',    'EX D Arabinose e0',    'EX LACT e0',    'EX XAN e0',    'EX FeIIIdicitrate e0',    'EX GSH e0',    'EX 4 Hydroxy benzylalcohol e0',    'EX GABA e0',    'EX L Alanine e0',    'EX 4 5 dihydroxy 2 3 pentanedione c0',    'EX D Glucosamine phosphate e0',    'EX GMP e0',    'EX Glycolaldehyde e0',    'EX L Threonine e0',    'EX Neu5Ac e0',    'EX N Acetyl D mannosamine e0',    'EX phenol palmitic acid e0',    'EX Isocitrate e0',    'EX D Glutamate e0',    'EX 2 Isopropylmalate e0',    'EX dTMP e0',    'EX CH33N e0',    'EX CH33NO e0',    'EX H2CO3 e0',    'EX CELB e0',    'EX Malonate e0',    'EX Citrate Mg e0',    'EX Cadaverine e0',    'EX Cyanate e0',    'EX D Lactate e0',    'EX chromate e0',    'EX Chorismate e0',    'EX 3 Hydroxyisobutyrate e0',    'EX 5 Deoxyadenosine e0',    'EX H2O2 e0',    'EX hexadecenoate e0',    'EX AMP e0',    'EX 2 Oxobutyrate e0',    'EX beta Alanine e0',    'EX Citrulline e0',    'EX Acetate e0',    'EX Phosphoethanolamine e0',    'EX H2S e0',    'EX Sulfite e0',    'EX D mannose 6 phosphate e0',    'EX Glycerophosphocholine e0',    'EX Nicotinamide e0',    'EX ALCTT e0'
Acidobacter,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acidobacter,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0,1,0,1,1,0,2,1,1,0,1,0,1,1,0,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acidobacter,1,0,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acidobacter,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,0,1,2,1,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acidobacter,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acidobacter,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acidobacter,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,0,1,0,1,0,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0,1,1,0,0,1,0,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acidobacter,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1,0,1,0,0,1,1,1,0,1,1,1,0,1,2,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acidobacter,0,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1,1,0,1,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,1,1,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Acidobacter,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0,1,0,1,1,0,2,1,1,1,1,0,1,0,0,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
