tip index,oldtiplabel,newtiplabel,phylum,genus,species,,,
1,user298,root,Archeae,Methanosarcina barkeri,0,,,
2,user282,fung7,Fungal,Ecephalitozoon,0,,,
3,user279,fung4,Fungal,Melampsora,lacris,,,
4,user276,fung1,Fungal,Mucor,0,,,
5,user281,fung6,Fungal,Phycomyces,0,,,
6,user296,fung21,Fungal,Aspergillus,0,,,
7,user280,fung5,Fungal,Cochliobolus,hetero,,,
8,user290,fung15,Fungal,Mycosphaerella,graminicola,,,
9,user291,fung16,Fungal,Mycosphaerella,fijiensis,,,
10,user288,fung13,Fungal,Neurospora,crassa,,,
11,user278,fung3,Fungal,Neurospora,tetrasperma,,,
12,user277,fung2,Fungal,Neurospora,discreta,,,
13,user285,fung10,Fungal,Myceliophthora,0,,,
14,user292,fung17,Fungal,Thielavia,terrestris,,,
15,user289,fung14,Fungal,Trichoderma,0,,,
16,user297,fung22,Fungal,Gibberella,0,,,
17,user295,fung20,Fungal,Magnaporthe,0,,,
18,user286,fung11,Fungal,Schizosaccharomyces,0,,,
19,user293,fung18,Fungal,Eremothecium,0,,,
20,user283,fung8,Fungal,Saccharomyces,S288c,,,
21,user287,fung12,Fungal,Saccharomyces,bakers yeast,,,
22,user284,fung9,Fungal,Schizophyllum,0,,,
23,user294,fung19,Fungal,Postia Placenta,0,,,
24,kbg.29625,DROP,#N/A,#N/A,#N/A,,,
25,user55,beta29625,Betaproteobacteria,Leeia,oryzae,,,
26,user67,beta240270,Betaproteobacteria,Chromobacterium,haemolyticum,,,
27,user73,beta207079,Betaproteobacteria,Chitinimonas,koreensis,,,
28,user69,beta239760,Betaproteobacteria,Andreprevotia,chitinilytica,,,
29,user74,beta207077,Betaproteobacteria,Chitinibacter,tainanensis,,,
30,kbg.2488,DROP,#N/A,#N/A,#N/A,,,
31,user61,beta2488,Betaproteobacteria,Methylovorus,sp.,,,
32,user65,beta242115,Betaproteobacteria,Nitrosospira,briensis,,,
33,user66,beta242114,Betaproteobacteria,Nitrosomonas,cryotolerans,,,
34,user51,beta3265,Betaproteobacteria,Aromatoleum,aromaticum,,,
35,kbg.25772,DROP,#N/A,#N/A,#N/A,,,
36,user59,beta25772,Betaproteobacteria,Thauera,aminoaromatica,,,
37,kbg.2655,DROP,#N/A,#N/A,#N/A,,,
38,user58,beta2655,Betaproteobacteria,Azoarcus,sp.,,,
39,user50,beta3268,Betaproteobacteria,Achromobacter,xylosoxidans,,,
40,user71,beta214586,Betaproteobacteria,Advenella,kashmirensis,,,
41,user62,beta244921,Betaproteobacteria,Castellaniella,defragrans,,,
42,user75,beta207018,Betaproteobacteria,Alcaligenes,faecalis,,,
43,kbg.23136,DROP,#N/A,#N/A,#N/A,,,
44,user70,beta23136,Betaproteobacteria,Collimonas,fungivorans,,,
