,Exrxns,Cexrxns,CUE,GC,Contigs,Genes,DNAsize,Phyla,Color
plancto978,93,68,0.077259,50.45,125,6322,7777997,plancto,darkolivegreen4
actino207489,120,90,0.130454,62.45,2,6054,6371421,actino,lightblue2
beta1274,120,92,0.143353,66.48,1,6130,6767514,beta,gray22
beta3268,123,94,0.156615,65.78,3,6805,7359146,beta,gray22
actino241810,116,89,0.170342,68.75,3273,9172,10023049,actino,lightblue2
beta207079,110,84,0.275903,68.89,54,4724,5574127,beta,gray22
acido26154,111,88,0.303313,61.9,1,7552,9965640,acido,darkorange2
acido460,116,91,0.315655,61.9,1,8295,9965640,acido,darkorange2
verr241270,128,101,0.330889,62.49,66,6460,7795129,verr,mediumorchid3
beta25416,86,61,0.34792,69.49,836,2692,3007775,beta,gray22
verr2493,104,79,0.351032,53.6,1,3081,3750771,verr,mediumorchid3
acido208548,131,103,0.35691,57.55,14,5323,6009792,acido,darkorange2
actino207261,127,100,0.364084,70.05,60,3810,4174923,actino,lightblue2
acido1295,99,73,0.364884,57.34,1,4432,5095226,acido,darkorange2
acido208549,101,74,0.366242,57.17,13,6344,6685036,acido,darkorange2
actino241246,136,110,0.368603,71.83,2606,4174,4842186,actino,lightblue2
plancto28853,98,75,0.373285,55.36,189,7094,7488930,plancto,darkolivegreen4
beta240270,151,122,0.378699,62.23,66,4499,5029225,beta,gray22
acido2957,105,77,0.384213,57.9,45,4755,6211694,acido,darkorange2
acido3009,105,77,0.388846,59.99,73,4628,5443090,acido,darkorange2
acido3010,107,79,0.389097,59.98,6,4649,5503984,acido,darkorange2
plancto28854,98,75,0.38943,55.48,178,6650,7149689,plancto,darkolivegreen4
plancto477,100,77,0.399339,55.4,1,6456,7145576,plancto,darkolivegreen4
acido1294,100,74,0.404253,57.31,43,4456,5121942,acido,darkorange2
actino216387,119,91,0.404321,71.7,5,8590,9195593,actino,lightblue2
acido208547,101,74,0.40453,59.15,25,5807,6248809,acido,darkorange2
plancto24397,110,81,0.405719,59.1,594,9476,9855884,plancto,darkolivegreen4
actino239728,134,105,0.410786,70.3,155,8007,8516825,actino,lightblue2
plancto26116,91,65,0.41108,67.3,837,7521,9102353,plancto,darkolivegreen4
actino240250,126,98,0.41374,71.56,133,9783,10971538,actino,lightblue2
plancto768,103,81,0.41529,57.04,64,5625,6653746,plancto,darkolivegreen4
actino29545,125,97,0.415926,67.95,130,7550,7979661,actino,lightblue2
plancto31530,100,76,0.416061,56.66,491,7291,8186686,plancto,darkolivegreen4
verr1567,113,84,0.417162,65.34,1,4813,5957605,verr,mediumorchid3
plancto31613,101,77,0.418456,54.68,1131,7815,8873572,plancto,darkolivegreen4
acido28399,105,77,0.419306,60.28,1,4343,5227858,acido,darkorange2
acido239417,108,82,0.423155,56.74,2,4397,5001037,acido,darkorange2
verr1806,121,95,0.430921,61.06,62,6781,7848700,verr,mediumorchid3
verr23288,103,79,0.431899,45.69,1397,4135,4850044,verr,mediumorchid3
acido215705,103,76,0.432951,58.83,3,5536,6136933,acido,darkorange2
plancto31529,99,74,0.439511,55.81,208,6891,7446194,plancto,darkolivegreen4
plancto32236,114,88,0.445242,56.03,141,7877,8777069,plancto,darkolivegreen4
plancto3245,98,76,0.451654,56.45,61,5156,5959956,plancto,darkolivegreen4
beta239760,135,107,0.452227,59.89,63,4444,5147806,beta,gray22
acido240438,114,86,0.452296,58.74,356,7685,8171509,acido,darkorange2
plancto2443,88,64,0.455203,62.49,2,4768,5529304,plancto,darkolivegreen4
verr26239,125,99,0.459383,63.21,82,6055,7139996,verr,mediumorchid3
actino206826,113,88,0.460644,60.37,1,3231,3535419,actino,lightblue2
acido207147,108,81,0.462342,68.89,42,2944,3287888,acido,darkorange2
actino1543,108,83,0.465367,68.13,10,6490,6844169,actino,lightblue2
verr26240,111,84,0.468751,60.71,368,4494,5223003,verr,mediumorchid3
plancto31528,99,74,0.470484,55.73,273,6641,7191307,plancto,darkolivegreen4
plancto208015,104,76,0.474482,64.04,171,8358,9253530,plancto,darkolivegreen4
plancto3852,98,73,0.478003,55.45,332,6511,7033319,plancto,darkolivegreen4
actino241833,129,103,0.485085,68.7,127,8227,8642480,actino,lightblue2
beta240123,151,121,0.486074,65.2,64,5995,6475434,beta,gray22
beta207018,139,109,0.490157,56.41,29,3896,4247680,beta,gray22
verr27772,126,100,0.490818,63.41,34,6182,7405432,verr,mediumorchid3
verr1156,110,85,0.49119,54.2,6,4838,5775745,verr,mediumorchid3
verr29679,91,68,0.493208,51.56,32,2685,3013001,verr,mediumorchid3
beta31501,133,105,0.501927,68.99,1888,5057,5689454,beta,gray22
acido244709,100,75,0.503383,63.01,68,2292,2660928,acido,darkorange2
acido239419,113,84,0.517098,60.25,89,5831,6673444,acido,darkorange2
actino204,109,84,0.527031,71.44,2,5004,5293685,actino,lightblue2
actino244091,122,94,0.535792,71.77,1,8763,9915093,actino,lightblue2
plancto28067,96,67,0.536212,62.23,113,8171,9702546,plancto,darkolivegreen4
beta244921,131,102,0.538598,68.94,1,3616,3952818,beta,gray22
verr244748,113,87,0.538996,60.51,200,6981,8576512,verr,mediumorchid3
plancto24393,105,75,0.548729,55.66,106,8616,8639329,plancto,darkolivegreen4
beta206928,134,105,0.549802,65.31,77,5386,6111314,beta,gray22
beta23136,130,102,0.551793,59.56,1,4638,5186898,beta,gray22
acido240122,112,83,0.553625,57.95,4,5095,5747993,acido,darkorange2
actino240390,111,83,0.563084,72.23,7479,8478,10241826,actino,lightblue2
actino29543,114,84,0.563953,73.99,34,5699,5860294,actino,lightblue2
actino207093,115,89,0.566629,70.93,23,2760,2944984,actino,lightblue2
acido26089,99,72,0.567707,58.38,1,4757,5650368,acido,darkorange2
beta207097,125,97,0.574937,69.92,19,4420,5181708,beta,gray22
actino216381,128,103,0.575846,71.8,1711,4999,5651950,actino,lightblue2
