,Exrxns,Cexrxns,CUE,GC,Genes,DNAsize,color,Phyla,,,,
beta29625,122,93,0.591171,54.55,3539,3785435,gray22,beta,,,,    
beta240270,151,122,0.378699,62.23,4499,5029225,gray22,beta,,,,   
beta207079,110,84,0.275903,68.89,4724,5574127,gray22,beta,,,,   
beta239760,135,107,0.452227,59.89,4444,5147806,gray22,beta,,,,   
beta207077,121,95,0.639994,56.06,3215,3424654,gray22,beta,,,,   
beta2488,104,81,0.663046,54.61,2801,3082007,gray22,beta,,,,     
beta242115,95,69,0.619071,53.21,3317,3187395,gray22,beta,,,,   
beta242114,94,72,0.736693,43.5,2717,2766794,gray22,beta,,,,   
beta3265,103,76,0.740662,64.7,4542,4727255,gray22,beta,,,,     
beta25772,122,95,0.583189,68.65,3853,4280700,gray22,beta,,,,    
beta2655,105,77,0.703486,67.92,4031,4376040,gray22,beta,,,,     
beta3268,123,94,0.156615,65.78,6805,7359146,gray22,beta,,,,     
beta214586,138,108,0.589514,55.06,4607,4845990,gray22,beta,,,,   
beta244921,131,102,0.538598,68.94,3616,3952818,gray22,beta,,,,   
beta207018,139,109,0.490157,56.41,3896,4247680,gray22,beta,,,,   
beta23136,130,102,0.551793,59.56,4638,5186898,gray22,beta,,,,    
beta31045,132,102,0.580848,64.22,6089,7114674,gray22,beta,,,,    
beta206928,134,105,0.549802,65.31,5386,6111314,gray22,beta,,,,
beta24441,140,109,0.588266,65.4,8387,8546215,gray22,beta,,,,    
beta240123,151,121,0.486074,65.2,5995,6475434,gray22,beta,,,,   
beta207097,125,97,0.574937,69.92,4420,5181708,gray22,beta,,,,   
beta26925,117,90,0.705907,66.54,5336,6655047,gray22,beta,,,,    
beta32077,128,100,0.619035,68.7,4499,4936752,gray22,beta,,,,    
beta31501,133,105,0.501927,68.99,5057,5689454,gray22,beta,,,,    
beta244814,123,94,0.639038,69.79,6248,6529337,gray22,beta,,,,   
beta25416,86,61,0.34792,69.49,2692,3007775,gray22,beta,,,,    
beta1274,120,92,0.143353,66.48,6130,6767514,gray22,beta,,,,     
beta2733,140,110,0.643327,68.89,4852,5428809,gray22,beta,,,,     
verr29771,85,62,0.893748,42.57,789,764777,mediumorchid3,verr,,,,    
acido207147,108,81,0.462342,68.89,2944,3287888,darkorange2,acido,,,,  
acido28199,78,51,0.598709,62.94,3637,4181446,darkorange2,acido,,,,   
acido244709,100,75,0.503383,63.01,2292,2660928,darkorange2,acido,,,,  
acido28550,98,73,0.710723,61.34,3136,3695372,darkorange2,acido,,,,   
acido26154,111,88,0.303313,61.9,7552,9965640,darkorange2,acido,,,,   
acido460,116,91,0.315655,61.9,8295,9965640,darkorange2,acido,,,,     
acido208549,101,74,0.366242,57.17,6344,6685036,darkorange2,acido,,,,  
acido240122,112,83,0.553625,57.95,5095,5747993,darkorange2,acido,,,,  
acido26089,99,72,0.567707,58.38,4757,5650368,darkorange2,acido,,,,   
acido341,97,70,0.618722,58.38,5109,5650368,darkorange2,acido,,,,     
acido239419,113,84,0.517098,60.25,5831,6673444,darkorange2,acido,,,,  
acido208547,101,74,0.40453,59.15,5807,6248809,darkorange2,acido,,,,  
acido470,86,63,0.669929,60.5,3395,4127356,darkorange2,acido,,,,     
acido28399,105,77,0.419306,60.28,4343,5227858,darkorange2,acido,,,,   
acido1294,100,74,0.404253,57.31,4456,5121942,darkorange2,acido,,,,    
acido1295,99,73,0.364884,57.34,4432,5095226,darkorange2,acido,,,,    
acido3010,107,79,0.389097,59.98,4649,5503984,darkorange2,acido,,,,    
acido3009,105,77,0.388846,59.99,4628,5443090,darkorange2,acido,,,,    
acido208548,131,103,0.35691,57.55,5323,6009792,darkorange2,acido,,,,  
acido240438,114,86,0.452296,58.74,7685,8171509,darkorange2,acido,,,,  
acido239417,108,82,0.423155,56.74,4397,5001037,darkorange2,acido,,,,  
acido215705,103,76,0.432951,58.83,5536,6136933,darkorange2,acido,,,,  
acido2957,105,77,0.384213,57.9,4755,6211694,darkorange2,acido,,,,    
acido208300,92,69,0.798028,52.86,820,789133,darkorange2,acido,,,,  
actino207226,114,86,0.594901,74.43,4109,4470560,lightblue2,actino,,,, 
actino204,109,84,0.527031,71.44,5004,5293685,lightblue2,actino,,,,    
actino29545,125,97,0.415926,67.95,7550,7979661,lightblue2,actino,,,,  
actino244091,122,94,0.535792,71.77,8763,9915093,lightblue2,actino,,,, 
actino29130,90,62,0.846149,71.41,5236,5497153,lightblue2,actino,,,,  
actino216381,128,103,0.575846,71.8,4999,5651950,lightblue2,actino,,,, 
actino241246,136,110,0.368603,71.83,4174,4842186,lightblue2,actino,,,, 
actino207261,127,100,0.364084,70.05,3810,4174923,lightblue2,actino,,,, 
actino207093,115,89,0.566629,70.93,2760,2944984,lightblue2,actino,,,, 
actino211001,106,77,0.62474,71.39,4243,4636528,lightblue2,actino,,,, 
actino216387,119,91,0.404321,71.7,8590,9195593,lightblue2,actino,,,, 
actino1543,108,83,0.465367,68.13,6490,6844169,lightblue2,actino,,,,   
actino206826,113,88,0.460644,60.37,3231,3535419,lightblue2,actino,,,, 
actino29633,107,81,0.748,70.29,6380,6821201,lightblue2,actino,,,,  
actino240390,111,83,0.563084,72.23,8478,10241826,lightblue2,actino,,,, 
actino240250,126,98,0.41374,71.56,9783,10971538,lightblue2,actino,,,, 
actino2051,118,92,0.577089,73.99,5018,5300980,lightblue2,actino,,,,   
actino207489,120,90,0.130454,62.45,6054,6371421,lightblue2,actino,,,, 
actino29543,114,84,0.563953,73.99,5699,5860294,lightblue2,actino,,,,  
actino207003,106,78,0.619873,70.23,6539,7276966,lightblue2,actino,,,, 
actino241833,129,103,0.485085,68.7,8227,8642480,lightblue2,actino,,,, 
actino241810,116,89,0.170342,68.75,9172,10023049,lightblue2,actino,,,, 
actino239728,134,105,0.410786,70.3,8007,8516825,lightblue2,actino,,,, 
actino216320,103,77,0.682984,71.48,3592,3836673,lightblue2,actino,,,, 
plancto26181,82,55,0.713966,40.05,4123,4087350,darkolivegreen4,plancto,,,, 
plancto25736,90,64,0.628934,40.72,4185,3810257,darkolivegreen4,plancto,,,, 
plancto25737,80,53,0.764718,41.12,3736,3764664,darkolivegreen4,plancto,,,, 
plancto209278,75,49,0.904324,44.64,810,873207,darkolivegreen4,plancto,,,,
plancto24397,110,81,0.405719,59.1,9476,9855884,darkolivegreen4,plancto,,,, 
plancto208015,104,76,0.474482,64.04,8358,9253530,darkolivegreen4,plancto,,,,
plancto26116,91,65,0.41108,67.3,7521,9102353,darkolivegreen4,plancto,,,, 
plancto2443,88,64,0.455203,62.49,4768,5529304,darkolivegreen4,plancto,,,,  
plancto28067,96,67,0.536212,62.23,8171,9702546,darkolivegreen4,plancto,,,, 
plancto31613,101,77,0.418456,54.68,7815,8873572,darkolivegreen4,plancto,,,, 
plancto31529,99,74,0.439511,55.81,6891,7446194,darkolivegreen4,plancto,,,, 
plancto31528,99,74,0.470484,55.73,6641,7191307,darkolivegreen4,plancto,,,, 
plancto28854,98,75,0.38943,55.48,6650,7149689,darkolivegreen4,plancto,,,, 
plancto28853,98,75,0.373285,55.36,7094,7488930,darkolivegreen4,plancto,,,, 
plancto477,100,77,0.399339,55.4,6456,7145576,darkolivegreen4,plancto,,,,   
plancto3852,98,73,0.478003,55.45,6511,7033319,darkolivegreen4,plancto,,,,  
plancto31530,100,76,0.416061,56.66,7291,8186686,darkolivegreen4,plancto,,,, 
plancto32236,114,88,0.445242,56.03,7877,8777069,darkolivegreen4,plancto,,,, 
plancto2125,87,63,0.625463,57.46,4957,6196199,darkolivegreen4,plancto,,,,  
plancto768,103,81,0.41529,57.04,5625,6653746,darkolivegreen4,plancto,,,,   
plancto769,99,76,0.689341,56.91,5325,6287830,darkolivegreen4,plancto,,,,   
plancto24393,105,75,0.548729,55.66,8616,8639329,darkolivegreen4,plancto,,,, 
plancto1964,97,71,0.737517,53.68,5227,5460085,darkolivegreen4,plancto,,,,  
plancto1963,96,70,0.660853,53.69,5266,5456253,darkolivegreen4,plancto,,,,  
plancto26850,95,69,0.608415,53.69,5160,5456253,darkolivegreen4,plancto,,,, 
plancto978,93,68,0.077259,50.45,6322,7777997,darkolivegreen4,plancto,,,,   
